"","Year","113 Cause Name","Cause Name","State","Deaths","Age-adjusted Death Rate","Employer","Non-Group","Medicaid","Medicare","Military","Uninsured","Total","Region","low_income_insurance"
"27",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Montana",579,50.2,0.436,0.094,0.193,0.164,"0.022",0.091,1,"West",0.284
"28",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Nebraska",811,38.5,0.556,0.079,0.125,0.134,"0.02",0.086,1,"Midwest",0.211
"29",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Nevada",1496,47.8,0.493,0.053,0.189,0.136,"0.018",0.111,1,"West",0.3
"30",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New Hampshire",907,62.9,0.573,0.056,0.138,0.168,"0.009",0.057,1,"Northeast",0.195
"31",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New Jersey",4482,47.3,0.56,0.057,0.171,0.131,"0.005",0.076,1,"Northeast",0.247
"32",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New Mexico",1460,68.3,0.362,0.048,0.336,0.141,"0.021",0.091,1,"Southwest",0.427
"33",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New York",7687,35.5,0.494,0.059,0.263,0.122,"<.01",0.057,1,"Northeast",0.32
"34",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","North Carolina",5985,56.3,0.463,0.072,0.184,0.146,"0.027",0.107,1,"Southeast",0.291
"35",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","North Dakota",339,41.3,0.58,0.091,0.107,0.131,"0.016",0.075,1,"Midwest",0.182
"36",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Ohio",8971,75.1,0.521,0.048,0.211,0.153,"0.009",0.058,1,"Midwest",0.269
"37",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Oklahoma",2563,62.5,0.453,0.059,0.18,0.147,"0.021",0.14,1,"Southwest",0.32
"38",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Oregon",2076,44.8,0.471,0.071,0.229,0.152,"0.01",0.068,1,"West",0.297
"39",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Pennsylvania",9527,70.2,0.522,0.059,0.197,0.16,"0.006",0.055,1,"Northeast",0.252
"40",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Rhode Island",718,60,0.512,0.06,0.236,0.139,"0.008",0.045,1,"Northeast",0.281
"41",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","South Carolina",3147,60.2,0.453,0.061,0.19,0.161,"0.023",0.111,1,"Southeast",0.301
"42",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","South Dakota",537,56.1,0.523,0.088,0.137,0.144,"0.016",0.092,1,"Midwest",0.229
"43",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Tennessee",4435,63,0.476,0.06,0.205,0.146,"0.019",0.094,1,"Southeast",0.299
"44",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Texas",10763,38.8,0.475,0.061,0.17,0.103,"0.017",0.174,1,"Southwest",0.344
"45",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Utah",1238,44.2,0.601,0.09,0.112,0.096,"0.012",0.09,1,"West",0.202
"46",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Vermont",394,56.9,0.463,0.049,0.281,0.158,"0.007",0.042,1,"Northeast",0.323
"47",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Virginia",3922,44,0.537,0.069,0.119,0.139,"0.048",0.088,1,"Southeast",0.207
"48",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Washington",3455,44,0.518,0.061,0.208,0.133,"0.02",0.061,1,"West",0.269
"49",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","West Virginia",1892,100.3,0.429,0.037,0.28,0.184,"0.013",0.058,1,"Southeast",0.338
"50",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Wisconsin",3746,58.3,0.566,0.06,0.168,0.148,"0.007",0.051,1,"Midwest",0.219
"51",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Wyoming",348,56.9,0.521,0.066,0.126,0.142,"0.021",0.123,1,"West",0.249
"52",2017,"All Causes","All causes","United States",2813503,731.9,0.493,0.065,0.206,0.135,"0.014",0.088,1,"US",0.294
"53",2017,"All Causes","All causes","Alabama",53238,917.7,0.46,0.062,0.206,0.157,"0.02",0.095,1,"Southeast",0.301
"54",2017,"All Causes","All causes","Alaska",4411,708.8,0.452,0.032,0.22,0.089,"0.068",0.139,1,"West",0.359
"55",2017,"All Causes","All causes","Arizona",57758,678.5,0.449,0.058,0.223,0.153,"0.016",0.1,1,"Southwest",0.323
"56",2017,"All Causes","All causes","Arkansas",32588,900.1,0.415,0.063,0.27,0.155,"0.017",0.08,1,"Southeast",0.35
"57",2017,"All Causes","All causes","California",268189,618.7,0.471,0.074,0.264,0.108,"0.009",0.072,1,"West",0.336
"58",2017,"All Causes","All causes","Colorado",38063,663.4,0.508,0.075,0.197,0.122,"0.024",0.075,1,"West",0.272
"59",2017,"All Causes","All causes","Connecticut",31312,651.2,0.538,0.059,0.203,0.136,"0.007",0.056,1,"Northeast",0.259
"60",2017,"All Causes","All causes","Delaware",9178,749.6,0.531,0.052,0.179,0.167,"0.015",0.056,1,"Northeast",0.235
"61",2017,"All Causes","All causes","Florida",203636,672.1,0.397,0.097,0.186,0.172,"0.019",0.129,1,"Southeast",0.315
"62",2017,"All Causes","All causes","Georgia",83098,793.7,0.486,0.065,0.174,0.118,"0.023",0.134,1,"Southeast",0.308
"63",2017,"All Causes","All causes","Hawaii",11390,584.9,0.541,0.048,0.175,0.147,"0.05",0.038,1,"West",0.213
"64",2017,"All Causes","All causes","Idaho",14011,741.8,0.465,0.095,0.175,0.14,"0.018",0.107,1,"West",0.282
"65",2017,"All Causes","All causes","Illinois",109721,724.2,0.534,0.06,0.2,0.131,"0.006",0.069,1,"Midwest",0.269
"66",2017,"All Causes","All causes","Indiana",65597,848.6,0.529,0.054,0.181,0.142,"0.009",0.084,1,"Midwest",0.265
"67",2017,"All Causes","All causes","Iowa",30530,737,0.553,0.067,0.18,0.148,"0.008",0.044,1,"Midwest",0.224
"68",2017,"All Causes","All causes","Kansas",27063,771.2,0.546,0.069,0.135,0.139,"0.025",0.085,1,"Midwest",0.22
"69",2017,"All Causes","All causes","Kentucky",48212,929.9,0.464,0.045,0.271,0.151,"0.014",0.055,1,"Southeast",0.326
"70",2017,"All Causes","All causes","Louisiana",45804,881.1,0.435,0.058,0.283,0.127,"0.015",0.083,1,"Southeast",0.366
"71",2017,"All Causes","All causes","Maine",14676,771.6,0.492,0.065,0.181,0.167,"0.017",0.078,1,"Northeast",0.259
"72",2017,"All Causes","All causes","Maryland",49926,718.1,0.562,0.056,0.178,0.124,"0.018",0.061,1,"Northeast",0.239
"73",2017,"All Causes","All causes","Massachusetts",58803,677.1,0.552,0.054,0.236,0.125,"0.005",0.028,1,"Northeast",0.264
"74",2017,"All Causes","All causes","Michigan",97602,783.5,0.514,0.054,0.224,0.151,"0.006",0.051,1,"Midwest",0.275
"75",2017,"All Causes","All causes","Minnesota",44371,656.4,0.575,0.058,0.173,0.142,"0.007",0.045,1,"Midwest",0.218
"76",2017,"All Causes","All causes","Mississippi",32280,951.3,0.42,0.06,0.244,0.134,"0.021",0.121,1,"Southeast",0.365
"77",2017,"All Causes","All causes","Missouri",61876,820.1,0.515,0.07,0.149,0.16,"0.015",0.091,1,"Midwest",0.24
"78",2017,"All Causes","All causes","Montana",10200,757.5,0.436,0.094,0.193,0.164,"0.022",0.091,1,"West",0.284
"79",2017,"All Causes","All causes","Nebraska",16878,726,0.556,0.079,0.125,0.134,"0.02",0.086,1,"Midwest",0.211
"80",2017,"All Causes","All causes","Nevada",24657,765.5,0.493,0.053,0.189,0.136,"0.018",0.111,1,"West",0.3
"81",2017,"All Causes","All causes","New Hampshire",12504,717.3,0.573,0.056,0.138,0.168,"0.009",0.057,1,"Northeast",0.195
"82",2017,"All Causes","All causes","New Jersey",74846,667.5,0.56,0.057,0.171,0.131,"0.005",0.076,1,"Northeast",0.247
"83",2017,"All Causes","All causes","New Mexico",18673,754.7,0.362,0.048,0.336,0.141,"0.021",0.091,1,"Southwest",0.427
"84",2017,"All Causes","All causes","New York",155358,623.6,0.494,0.059,0.263,0.122,"<.01",0.057,1,"Northeast",0.32
"85",2017,"All Causes","All causes","North Carolina",93157,785.6,0.463,0.072,0.184,0.146,"0.027",0.107,1,"Southeast",0.291
"86",2017,"All Causes","All causes","North Dakota",6415,692.7,0.58,0.091,0.107,0.131,"0.016",0.075,1,"Midwest",0.182
"87",2017,"All Causes","All causes","Ohio",123648,849.7,0.521,0.048,0.211,0.153,"0.009",0.058,1,"Midwest",0.269
"88",2017,"All Causes","All causes","Oklahoma",40452,902.4,0.453,0.059,0.18,0.147,"0.021",0.14,1,"Southwest",0.32
"89",2017,"All Causes","All causes","Oregon",36624,717.2,0.471,0.071,0.229,0.152,"0.01",0.068,1,"West",0.297
"90",2017,"All Causes","All causes","Pennsylvania",135656,777.3,0.522,0.059,0.197,0.16,"0.006",0.055,1,"Northeast",0.252
"91",2017,"All Causes","All causes","Rhode Island",10157,713.4,0.512,0.06,0.236,0.139,"0.008",0.045,1,"Northeast",0.281
"92",2017,"All Causes","All causes","South Carolina",49441,828,0.453,0.061,0.19,0.161,"0.023",0.111,1,"Southeast",0.301
"93",2017,"All Causes","All causes","South Dakota",7996,736.6,0.523,0.088,0.137,0.144,"0.016",0.092,1,"Midwest",0.229
"94",2017,"All Causes","All causes","Tennessee",70096,897.1,0.476,0.06,0.205,0.146,"0.019",0.094,1,"Southeast",0.299
"95",2017,"All Causes","All causes","Texas",198106,735.7,0.475,0.061,0.17,0.103,"0.017",0.174,1,"Southwest",0.344
"96",2017,"All Causes","All causes","Utah",18035,700.1,0.601,0.09,0.112,0.096,"0.012",0.09,1,"West",0.202
"97",2017,"All Causes","All causes","Vermont",6007,714.9,0.463,0.049,0.281,0.158,"0.007",0.042,1,"Northeast",0.323
"98",2017,"All Causes","All causes","Virginia",68579,719.4,0.537,0.069,0.119,0.139,"0.048",0.088,1,"Southeast",0.207
"99",2017,"All Causes","All causes","Washington",56995,688.6,0.518,0.061,0.208,0.133,"0.02",0.061,1,"West",0.269
"100",2017,"All Causes","All causes","West Virginia",23276,957.1,0.429,0.037,0.28,0.184,"0.013",0.058,1,"Southeast",0.338
"101",2017,"All Causes","All causes","Wisconsin",52681,722,0.566,0.06,0.168,0.148,"0.007",0.051,1,"Midwest",0.219
"102",2017,"All Causes","All causes","Wyoming",4768,714.6,0.521,0.066,0.126,0.142,"0.021",0.123,1,"West",0.249
"103",2017,"Alzheimer's disease (G30)","Alzheimer's disease","United States",121404,31,0.493,0.065,0.206,0.135,"0.014",0.088,1,"US",0.294
"104",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Alabama",2563,45.2,0.46,0.062,0.206,0.157,"0.02",0.095,1,"Southeast",0.301
"105",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Alaska",98,22.1,0.452,0.032,0.22,0.089,"0.068",0.139,1,"West",0.359
"106",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Arizona",3058,35.1,0.449,0.058,0.223,0.153,"0.016",0.1,1,"Southwest",0.323
"107",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Arkansas",1436,39.4,0.415,0.063,0.27,0.155,"0.017",0.08,1,"Southeast",0.35
"108",2017,"Alzheimer's disease (G30)","Alzheimer's disease","California",16238,37.1,0.471,0.074,0.264,0.108,"0.009",0.072,1,"West",0.336
"109",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Colorado",1830,34.2,0.508,0.075,0.197,0.122,"0.024",0.075,1,"West",0.272
"110",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Connecticut",1077,20.4,0.538,0.059,0.203,0.136,"0.007",0.056,1,"Northeast",0.259
"111",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Delaware",377,30.6,0.531,0.052,0.179,0.167,"0.015",0.056,1,"Northeast",0.235
"112",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Florida",6980,20.7,0.397,0.097,0.186,0.172,"0.019",0.129,1,"Southeast",0.315
"113",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Georgia",4290,46,0.486,0.065,0.174,0.118,"0.023",0.134,1,"Southeast",0.308
"114",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Hawaii",465,19.7,0.541,0.048,0.175,0.147,"0.05",0.038,1,"West",0.213
"115",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Idaho",672,36.6,0.465,0.095,0.175,0.14,"0.018",0.107,1,"West",0.282
"116",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Illinois",4021,25.6,0.534,0.06,0.2,0.131,"0.006",0.069,1,"Midwest",0.269
"117",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Indiana",2771,35.3,0.529,0.054,0.181,0.142,"0.009",0.084,1,"Midwest",0.265
"118",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Iowa",1597,35.3,0.553,0.067,0.18,0.148,"0.008",0.044,1,"Midwest",0.224
"119",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Kansas",894,24.3,0.546,0.069,0.135,0.139,"0.025",0.085,1,"Midwest",0.22
"120",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Kentucky",1765,35,0.464,0.045,0.271,0.151,"0.014",0.055,1,"Southeast",0.326
"121",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Louisiana",2188,43.7,0.435,0.058,0.283,0.127,"0.015",0.083,1,"Southeast",0.366
"122",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Maine",601,30.4,0.492,0.065,0.181,0.167,"0.017",0.078,1,"Northeast",0.259
"123",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Maryland",1191,17.1,0.562,0.056,0.178,0.124,"0.018",0.061,1,"Northeast",0.239
"124",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Massachusetts",1841,19.9,0.552,0.054,0.236,0.125,"0.005",0.028,1,"Northeast",0.264
"125",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Michigan",4428,34.5,0.514,0.054,0.224,0.151,"0.006",0.051,1,"Midwest",0.275
"126",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Minnesota",2474,34.9,0.575,0.058,0.173,0.142,"0.007",0.045,1,"Midwest",0.218
"127",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Mississippi",1626,49.6,0.42,0.06,0.244,0.134,"0.021",0.121,1,"Southeast",0.365
"128",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Missouri",2545,32.3,0.515,0.07,0.149,0.16,"0.015",0.091,1,"Midwest",0.24
"129",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Montana",285,20.9,0.436,0.094,0.193,0.164,"0.022",0.091,1,"West",0.284
"130",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Nebraska",698,28.5,0.556,0.079,0.125,0.134,"0.02",0.086,1,"Midwest",0.211
"131",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Nevada",779,27.3,0.493,0.053,0.189,0.136,"0.018",0.111,1,"West",0.3
"132",2017,"Alzheimer's disease (G30)","Alzheimer's disease","New Hampshire",436,24.8,0.573,0.056,0.138,0.168,"0.009",0.057,1,"Northeast",0.195
"133",2017,"Alzheimer's disease (G30)","Alzheimer's disease","New Jersey",2829,23.6,0.56,0.057,0.171,0.131,"0.005",0.076,1,"Northeast",0.247
"134",2017,"Alzheimer's disease (G30)","Alzheimer's disease","New Mexico",572,22.7,0.362,0.048,0.336,0.141,"0.021",0.091,1,"Southwest",0.427
"135",2017,"Alzheimer's disease (G30)","Alzheimer's disease","New York",3521,13.2,0.494,0.059,0.263,0.122,"<.01",0.057,1,"Northeast",0.32
"136",2017,"Alzheimer's disease (G30)","Alzheimer's disease","North Carolina",4289,37.3,0.463,0.072,0.184,0.146,"0.027",0.107,1,"Southeast",0.291
"137",2017,"Alzheimer's disease (G30)","Alzheimer's disease","North Dakota",387,36.5,0.58,0.091,0.107,0.131,"0.016",0.075,1,"Midwest",0.182
"138",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Ohio",5117,33.6,0.521,0.048,0.211,0.153,"0.009",0.058,1,"Midwest",0.269
"139",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Oklahoma",1752,39.4,0.453,0.059,0.18,0.147,"0.021",0.14,1,"Southwest",0.32
"140",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Oregon",1850,36,0.471,0.071,0.229,0.152,"0.01",0.068,1,"West",0.297
"141",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Pennsylvania",4213,21.7,0.522,0.059,0.197,0.16,"0.006",0.055,1,"Northeast",0.252
"142",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Rhode Island",435,27.3,0.512,0.06,0.236,0.139,"0.008",0.045,1,"Northeast",0.281
"143",2017,"Alzheimer's disease (G30)","Alzheimer's disease","South Carolina",2549,45,0.453,0.061,0.19,0.161,"0.023",0.111,1,"Southeast",0.301
"144",2017,"Alzheimer's disease (G30)","Alzheimer's disease","South Dakota",444,36.9,0.523,0.088,0.137,0.144,"0.016",0.092,1,"Midwest",0.229
"145",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Tennessee",3522,46.7,0.476,0.06,0.205,0.146,"0.019",0.094,1,"Southeast",0.299
"146",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Texas",9545,38.5,0.475,0.061,0.17,0.103,"0.017",0.174,1,"Southwest",0.344
"147",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Utah",991,42.1,0.601,0.09,0.112,0.096,"0.012",0.09,1,"West",0.202
"148",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Vermont",370,42.9,0.463,0.049,0.281,0.158,"0.007",0.042,1,"Northeast",0.323
"149",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Virginia",2549,27.6,0.537,0.069,0.119,0.139,"0.048",0.088,1,"Southeast",0.207
"150",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Washington",3710,46,0.518,0.061,0.208,0.133,"0.02",0.061,1,"West",0.269
"151",2017,"Alzheimer's disease (G30)","Alzheimer's disease","West Virginia",770,30.6,0.429,0.037,0.28,0.184,"0.013",0.058,1,"Southeast",0.338
"152",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Wisconsin",2428,31.6,0.566,0.06,0.168,0.148,"0.007",0.051,1,"Midwest",0.219
"153",2017,"Alzheimer's disease (G30)","Alzheimer's disease","Wyoming",212,32.7,0.521,0.066,0.126,0.142,"0.021",0.123,1,"West",0.249
"154",2017,"Cerebrovascular diseases (I60-I69)","Stroke","United States",146383,37.6,0.493,0.065,0.206,0.135,"0.014",0.088,1,"US",0.294
"155",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Alabama",2931,50,0.46,0.062,0.206,0.157,"0.02",0.095,1,"Southeast",0.301
"156",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Alaska",190,35.1,0.452,0.032,0.22,0.089,"0.068",0.139,1,"West",0.359
"157",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Arizona",2681,30.8,0.449,0.058,0.223,0.153,"0.016",0.1,1,"Southwest",0.323
"158",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Arkansas",1612,43.8,0.415,0.063,0.27,0.155,"0.017",0.08,1,"Southeast",0.35
"159",2017,"Cerebrovascular diseases (I60-I69)","Stroke","California",16355,37.6,0.471,0.074,0.264,0.108,"0.009",0.072,1,"West",0.336
"160",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Colorado",1988,35.8,0.508,0.075,0.197,0.122,"0.024",0.075,1,"West",0.272
"161",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Connecticut",1403,27.8,0.538,0.059,0.203,0.136,"0.007",0.056,1,"Northeast",0.259
"162",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Delaware",571,46.2,0.531,0.052,0.179,0.167,"0.015",0.056,1,"Northeast",0.235
"163",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Florida",12602,38.9,0.397,0.097,0.186,0.172,"0.019",0.129,1,"Southeast",0.315
"164",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Georgia",4399,43.5,0.486,0.065,0.174,0.118,"0.023",0.134,1,"Southeast",0.308
"165",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Hawaii",764,37.5,0.541,0.048,0.175,0.147,"0.05",0.038,1,"West",0.213
"166",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Idaho",726,38.5,0.465,0.095,0.175,0.14,"0.018",0.107,1,"West",0.282
"167",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Illinois",6020,38.9,0.534,0.06,0.2,0.131,"0.006",0.069,1,"Midwest",0.269
"168",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Indiana",3150,40.2,0.529,0.054,0.181,0.142,"0.009",0.084,1,"Midwest",0.265
"169",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Iowa",1416,32.8,0.553,0.067,0.18,0.148,"0.008",0.044,1,"Midwest",0.224
"170",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Kansas",1355,37.7,0.546,0.069,0.135,0.139,"0.025",0.085,1,"Midwest",0.22
"171",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Kentucky",2050,39.4,0.464,0.045,0.271,0.151,"0.014",0.055,1,"Southeast",0.326
"172",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Louisiana",2460,47.4,0.435,0.058,0.283,0.127,"0.015",0.083,1,"Southeast",0.366
"173",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Maine",736,37.5,0.492,0.065,0.181,0.167,"0.017",0.078,1,"Northeast",0.259
"174",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Maryland",2820,40.2,0.562,0.056,0.178,0.124,"0.018",0.061,1,"Northeast",0.239
"175",2017,"Cerebrovascular diseases (I60-I69)","Stroke","Massachusetts",2367,26.5,0.552,0.054,0.236,0.125,"0.005",0.028,1,"Northeast",0.264
